Treatments,Time,PJ,BV,AC,DP,BT,DL,BH,BP,CS,EL
COMM10<DP,24.0,0.0152615730507727,0.2336359465083471,0.0,0.3919344402531948,0.1788563755503791,0.0201130802466271,0.0296294603956637,0.0006530778695785,0.0260686537240443,0.1359056911565791
COMM10<EL,0.0,0.0008899121140492,0.0082898003616868,3.896945330566659e-05,0.0133142227621379,0.0069324142547721,0.0006161698547786,0.000963970204366,0.0001458636230142,0.0012833516509381,0.0117994310129436
COMM10<EL,24.0,0.0144749262601647,0.2045883522439039,0.0008368804889163,0.3039744703871305,0.15268250183877,0.0086339655586921,0.0265515545925012,0.0010128742514569,0.0212948439507058,0.263298626114907
COMM10<PJ,0.0,0.0019008294099807,0.0105163613170868,2.4439520333680902e-06,0.0157500819620622,0.0071336857202225,0.0007408000835872,0.0007291934559693,7.29979988589694e-05,0.0016579008457941,0.0056175802544043
COMM10<PJ,24.0,0.0174141105033274,0.2449948148788908,0.0,0.3379672747911743,0.1609573593431712,0.0114252726616927,0.0202847814941101,0.0007091567200125,0.0283093234987896,0.1507379061088309
COMM10<equal,0.0,0.0007213141531793,0.0076363463326016,2.0352654452759636e-05,0.0175213210996958,0.0059392918203926,0.0007377410051264,0.0019992573162016,0.0001586174799602,0.0017338066185374,0.0089176067608547
COMM10<equal,24.0,0.0111432373464474,0.1862850942129755,0.0002741000698563,0.3693816664038832,0.1414061687452385,0.0105125108580116,0.041141954189787,0.0012915883751707,0.0300766200728852,0.1991229804091254
MonospeciesAC,0.0,0.0,0.0,0.0116666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,24.0,0.0,0.0,0.05202123914356045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesBH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
MonospeciesBH,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2086354582284002,0.0,0.0,0.0
MonospeciesBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0172666666666666,0.0,0.0
MonospeciesBP,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05127577424032703,0.0,0.0
MonospeciesBT,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
MonospeciesBT,24.0,0.0,0.0,0.0,0.0,0.16553957620693754,0.0,0.0,0.0,0.0,0.0
MonospeciesBV,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesBV,24.0,0.0,0.26083339835585895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0103666666666666,0.0
MonospeciesCS,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17792008731596307,0.0
MonospeciesDL,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
MonospeciesDL,24.0,0.0,0.0,0.0,0.0,0.0,0.17217421392410942,0.0,0.0,0.0,0.0
MonospeciesDP,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesDP,24.0,0.0,0.0,0.0,0.1597691522835931,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
MonospeciesEL,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1680979834877124
MonospeciesPJ,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesPJ,24.0,0.05694249796960141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SubCommB37,0.0,0.00375,0.0,0.00375,0.00375,0.0,0.0,0.0,0.00375,0.0,0.0
SubCommB37,24.0,0.193615213013168,0.0,0.0144086444616576,0.1623889078233927,0.0,0.0,0.0,0.0198478698683191,0.0,0.0
SubCommB40,0.0,0.0,0.0,0.00375,0.00375,0.0,0.0,0.0,0.00375,0.00375,0.0
SubCommB40,24.0,0.0,0.0,0.0088957096109562,0.221739061931887,0.0,0.0,0.0,0.0490542964489152,0.1878472609380681,0.0
SubCommB46,0.0,0.0,0.0,0.00375,0.00375,0.0,0.0,0.00375,0.0,0.00375,0.0
SubCommB46,24.0,0.0,0.0,0.0071648573876047,0.3492861244426072,0.0,0.0,0.0330171375353405,0.0,0.1944578735618302,0.0
SubCommB54,0.0,0.0,0.0,0.00375,0.0,0.0,0.00375,0.00375,0.0,0.00375,0.0
SubCommB54,24.0,0.0,0.0,0.0211128997212693,0.0,0.0,0.0166139053014097,0.0280842081280232,0.0,0.3341658920817991,0.0
SubCommB55,0.0,0.0,0.0,0.00375,0.0,0.0,0.00375,0.0,0.00375,0.00375,0.0
SubCommB55,24.0,0.0,0.0,0.0121007173011576,0.0,0.0,0.0656486879477522,0.0,0.0790987300321317,0.233853650724927,0.0
SubCommB56,0.0,0.0,0.0,0.003,0.0,0.0,0.003,0.003,0.003,0.003,0.0
