Treatments,Time,PJ,BV,AC,DP,BT,DL,BH,BP,CS,EL
COMM10<DP,24.0,0.0527403393554529,0.0140548598570102,0.0011663649809122,0.2397995533022377,0.8846013184637055,0.0034009666895331,0.0061605971548693,0.0001788704870655,0.0577680390552142,0.0732948278099018
COMM10<EL,0.0,0.0024186710157793,0.0008422040800755,3.09486541660687e-05,0.0100565772590774,0.0300238536894703,0.0005304010975813,0.0003900336296529,0.0001166587505581,0.0024585331287392,0.0040647078867177
COMM10<EL,24.0,0.0373296255038873,0.014908351778349,0.0003235497451159,0.2556045969862115,0.8594480457228324,0.0068927222898483,0.0080742033251999,0.0003551564712772,0.056376311572841,0.0733088636735296
COMM10<PJ,0.0,0.0052348424127566,0.0005007797538443,4.48739835831769e-05,0.0106259320346327,0.0297068763731024,0.0001315148489138,0.0002723703019556,2.8826673274603147e-05,0.0024092509696522,0.0036492974988665
COMM10<PJ,24.0,0.0721596457130556,0.0089661839430579,0.0008383821317247,0.2142792962218428,0.8206632211936096,0.0017633987315873,0.0056035834354998,5.46080520108063e-05,0.0505560596835633,0.1023266820853948
COMM10<equal,0.0,0.0032145993816125,0.0004470111594925,7.881683841343335e-05,0.0169806251708524,0.0268253654495047,0.0003853292649558,0.0004438538544122,0.0001012216051673,0.0024795304898981,0.0045728412265022
COMM10<equal,24.0,0.049619063746725,0.0076224159807244,0.0011459675125435,0.3225861232636945,0.8099537692021549,0.004219448366107,0.0061930184834575,0.0001814048581927,0.0512136804827105,0.0915155625896971
MonospeciesAC,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,24.0,0.0,0.0,0.06241473689099435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesBH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
MonospeciesBH,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13846798569504465,0.0,0.0,0.0
MonospeciesBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107333333333333,0.0,0.0
MonospeciesBP,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028136962410570846,0.0,0.0
