Treatments,Time,PJ,BV,AC,DP,BT,DL,BH,BP,CS,EL
SubCommB83,24.0,0.0501594109315649,0.0,0.0014395002517379,0.0,0.0,0.0438229204174228,0.0221463206843417,0.0,0.1999127388726418,0.0
SubCommC15,0.0,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
SubCommC15,24.0,0.0131035464711632,0.0378704334120718,0.0002834131976982,0.281429940605977,0.0552237547979941,0.0863421781800935,0.0030114379748933,0.0056532076440629,0.060869037732289,0.1117898777388972
SubCommC17,0.0,0.0,0.0,0.0,0.0049999999999999,0.0,0.0,0.0049999999999999,0.0049999999999999,0.0,0.0
SubCommC17,24.0,0.0,0.0,0.0,0.2152611008784016,0.0,0.0,0.0028380361853119,0.0781979798295558,0.0,0.0
SubCommC81,0.0,0.00375,0.0,0.0,0.0,0.0,0.0,0.00375,0.0,0.00375,0.00375
SubCommC81,24.0,0.0378044958524178,0.0,0.0,0.0,0.0,0.0,0.0054583447664478,0.0,0.3017045486206387,0.1674947675032188
SubCommC82,0.0,0.0,0.00375,0.00375,0.00375,0.00375,0.0,0.0,0.0,0.0,0.0
SubCommC82,24.0,0.0,0.0537913859928456,0.000355741673705,0.212541310660679,0.0625521474761571,0.0,0.0,0.0,0.0,0.0
SubCommC83,0.0,0.003,0.0,0.003,0.0,0.0,0.003,0.0,0.003,0.0,0.003
SubCommC83,24.0,0.0340768111427586,0.0,0.0010838872770391,0.0,0.0,0.3990342550273545,0.0,0.0445924620078797,0.0,0.0256037941932392
SubCommC84,0.0,0.0,0.0,0.003,0.0,0.003,0.003,0.003,0.0,0.003,0.0
SubCommC84,24.0,0.0,0.0,0.000838323589773,0.0,0.1289468530619187,0.0367921008955497,0.0027539492502544,0.0,0.1563701338273664,0.0
SubCommC85,0.0,0.0025,0.0,0.0,0.0025,0.0,0.0025,0.0025,0.0025,0.0025,0.0
SubCommC85,24.0,0.0187292341409959,0.0,0.0,0.185706045294046,0.0,0.0257745768902958,0.0034132716425179,0.0466918056739315,0.0747090770729331,0.0
SubCommC86,0.0,0.0,0.0,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.0,0.0021428571428571,0.0021428571428571
SubCommC86,24.0,0.0,0.0,0.0003012110805784,0.3263759328218655,0.1085120909523003,0.2108558598631389,0.001475464335985,0.0,0.0439827642858957,0.051084404453202
SubCommC87,0.0,0.0,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.0,0.0021428571428571,0.0021428571428571,0.0,0.0021428571428571
SubCommC87,24.0,0.0,0.1007926369534471,0.0003952842852774,0.3284263539100487,0.0643182444070648,0.0,0.002767483107279,0.0106613165796334,0.0,0.119406616977452
