Treatments,Time,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
MonospeciesAC,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,2.7572222222222216,0.0,0.0,0.02990000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,4.784166666666667,0.0,0.0,0.2489333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,6.784722222222222,0.0,0.0,0.5928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,8.785,0.0,0.0,0.6183333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,9.697222222222225,0.0,0.0,0.6113000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,11.697777777777775,0.0,0.0,0.5867333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,13.698055555555555,0.0,0.0,0.5755666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,15.698611111111116,0.0,0.0,0.5696666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,17.698611111111113,0.0,0.0,0.6534,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,19.698888888888884,0.0,0.0,0.5557333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,21.698888888888888,0.0,0.0,0.5392666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,22.97194444444445,0.0,0.0,0.5631666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,24.965555555555557,0.0,0.0,0.5299666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,26.879444444444445,0.0,0.0,0.5377333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,29.1475,0.0,0.0,0.5215666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,30.388055555555557,0.0,0.0,0.5517333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,32.38833333333333,0.0,0.0,0.5466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,34.38861111111111,0.0,0.0,0.5247666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,36.388888888888886,0.0,0.0,0.5379333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,38.38916666666667,0.0,0.0,0.5372666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,40.389722222222225,0.0,0.0,0.5184333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,42.39,0.0,0.0,0.5057666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,44.39055555555557,0.0,0.0,0.5206666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,46.39111111111111,0.0,0.0,0.5331333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,48.39138888888889,0.0,0.0,0.5260333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,50.39194444444446,0.0,0.0,0.5273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesAC,51.9888888888889,0.0,0.0,0.4869666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonospeciesBH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
MonospeciesBH,2.116352,0.0,0.0,0.0,0.0,0.0,0.0,0.017034598333333335,0.0,0.0,0.0
MonospeciesBH,4.561388889,0.0,0.0,0.0,0.0,0.0,0.0,0.02303147233333333,0.0,0.0,0.0
MonospeciesBH,8.112386,0.0,0.0,0.0,0.0,0.0,0.0,0.031792122666666665,0.0,0.0,0.0
