Treatments,Time,PJ,BV,AC,DP,BT,DL,BH,BP,CS,EL,Comm
Inulin,0.0,0.0015997841250841,0.0056452273594164,0.006567330194223,0.0201204050056269,0.0016608576656809,0.0369982938676638,0.0052325754427766,0.0003623559223503,0.0002952725710344,0.005855397846143,PJ-BV-AC-DP-BT-DL-BH-BP-CS-EL
Inulin,24.0,0.0096059307771551,0.116989209775056,0.2170559682493974,0.4568822139233391,0.050493833938484,0.8024141498749646,0.1264553703246394,0.0327065178380336,0.00400166527276,0.1121353768648886,PJ-BV-AC-DP-BT-DL-BH-BP-CS-EL
Inulin,0.0,0.0004890940853265,0.004615003662467,0.0069044464628958,0.0245283707031136,0.0041482772112477,0.0365714527298904,0.0020984365753792,0.0008309344428925,0.0005430797982519,0.0070450328681665,PJ-BV-AC-DP-BT-DL-BH-BP-CS-EL
Inulin,24.0,0.0045060119418886,0.0777255952803503,0.2556901543190218,0.4644670691497922,0.0913083807762559,0.8535983057594283,0.0346267528876785,0.0366921773963031,0.0063890729445849,0.1198131117778826,PJ-BV-AC-DP-BT-DL-BH-BP-CS-EL
Inulin,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AC
Inulin,24.0,0.0,0.0,0.5460462542380754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AC
Inulin,0.0,0.00375,0.00375,0.00375,0.0,0.00375,0.0,0.0,0.0,0.0,0.0,PJ-BV-AC-BT
Inulin,24.0,0.1163950669426116,1.3515960949816552,0.2614077796487304,0.0,0.4782471299139878,0.0,0.0,0.0,0.0,0.0,PJ-BV-AC-BT
Inulin,0.0,0.0025,0.0025,0.0025,0.0,0.0,0.0025,0.0,0.0,0.0025,0.0025,PJ-BV-AC-DL-CS-EL
Inulin,24.0,0.0659224060042267,0.5152925981516443,0.4116531310955368,0.0,0.0,0.9803232916328634,0.0,0.0,0.0389515769937189,0.1287195892516646,PJ-BV-AC-DL-CS-EL
Inulin,0.0,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.0,0.0,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.0,0.0021428571428571,PJ-BV-AC-DL-BH-BP-EL
Inulin,24.0,0.1003227563458029,0.3961314074966046,0.3544459435453111,0.0,0.0,0.704243728760679,0.000342681892312,0.3347480388214583,0.0,0.0351557450071284,PJ-BV-AC-DL-BH-BP-EL
Inulin,0.0,0.001875,0.0,0.001875,0.001875,0.001875,0.001875,0.001875,0.0,0.001875,0.001875,PJ-AC-DP-BT-DL-BH-CS-EL
Inulin,24.0,0.0457935024428765,0.0,0.3457735049594652,0.1257084860647561,0.3390138798987882,1.8172001714033936,0.0047918988501528,0.0,0.0114330361345965,0.0685540734219973,PJ-AC-DP-BT-DL-BH-CS-EL
Inulin,0.0,0.0,0.001875,0.001875,0.001875,0.001875,0.001875,0.0,0.001875,0.001875,0.001875,BV-AC-DP-BT-DL-BP-CS-EL
Inulin,24.0,0.0,0.0550864526641608,0.5960042863347708,0.0707017752769382,0.2270250000719475,0.814471908172133,0.0,0.0953003047844383,0.0090962659415782,0.0729260680033749,BV-AC-DP-BT-DL-BP-CS-EL
Inulin,0.0,0.003,0.0,0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,PJ-AC-DP-BT-DL
Inulin,24.0,0.0226632640431544,0.0,0.0480652560002115,0.0418779314118171,0.2566877803244375,1.525330271385368,0.0,0.0,0.0,0.0,PJ-AC-DP-BT-DL
Inulin,0.0,0.003,0.0,0.003,0.0,0.0,0.003,0.0,0.003,0.003,0.0,PJ-AC-DL-BP-CS
Inulin,24.0,0.0912913429788835,0.0,0.3678879983517298,0.0,0.0,1.7352529351031691,0.0,0.0658739506029019,0.0089891011151568,0.0,PJ-AC-DL-BP-CS
Inulin,0.0,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,PJ-BV-AC-DP-BT-DL-BH-BP-CS-EL
Inulin,24.0,0.0168412310481133,0.1022513146433132,0.4267017054646254,0.0341681549744547,0.1726909474485956,0.9840224949283096,0.0028510150377514,0.007848577198183,0.0036620923101252,0.0299956879050176,PJ-BV-AC-DP-BT-DL-BH-BP-CS-EL
Inulin,0.0,0.0,0.0,0.003,0.003,0.003,0.003,0.0,0.0,0.003,0.0,AC-DP-BT-DL-CS
Inulin,24.0,0.0,0.0,0.0897778627398106,0.1496659300230652,0.2446056456397822,1.141725395906368,0.0,0.0,0.0091151428871549,0.0,AC-DP-BT-DL-CS
Inulin,0.0,0.003,0.003,0.003,0.0,0.0,0.0,0.003,0.0,0.0,0.003,PJ-BV-AC-BH-EL
Inulin,24.0,0.0964330151692696,1.2611538620148766,0.229277274136245,0.0,0.0,0.0,0.0052593371138492,0.0,0.0,0.6253256636500973,PJ-BV-AC-BH-EL
Inulin,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0025,0.0025,0.0025,0.0,0.0,PJ-AC-BT-DL-BH-BP
Inulin,24.0,0.0060147127445422,0.0,0.0319062620934003,0.0,0.0854599450167271,1.081257581988995,0.0005495463785037,0.0242263066484067,0.0,0.0,PJ-AC-BT-DL-BH-BP
Inulin,0.0,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.0021428571428571,0.0,0.0021428571428571,0.0021428571428571,0.0,0.0021428571428571,0.0,PJ-BV-AC-DP-DL-BH-CS
Inulin,24.0,0.0221488847478172,0.0661064255404049,0.3632380963270189,0.0703356396475628,0.0,1.5663877204958154,0.0034566037834863,0.0,0.0060060736931629,0.0,PJ-BV-AC-DP-DL-BH-CS
Inulin,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,0.00375,0.00375,0.00375,0.0,AC-BH-BP-CS
Inulin,24.0,0.0,0.0,0.428535260403688,0.0,0.0,0.0,0.6658786167178891,0.127379959575823,0.5402061633025997,0.0,AC-BH-BP-CS
Inulin,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,AC-EL
Inulin,24.0,0.0,0.0,0.5187434198048402,0.0,0.0,0.0,0.0,0.0,0.0,0.0087830409466844,AC-EL
Inulin,0.0,0.0,0.0,0.0075,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,AC-DP
Inulin,24.0,0.0,0.0,0.6777487516425755,0.2433166134785057,0.0,0.0,0.0,0.0,0.0,0.0,AC-DP
Inulin,0.0,0.0,0.0,0.0075,0.0,0.0075,0.0,0.0,0.0,0.0,0.0,AC-BT
Inulin,24.0,0.0,0.0,0.3628284908066995,0.0,0.5965338776757382,0.0,0.0,0.0,0.0,0.0,AC-BT
Inulin,0.0,0.0,0.0,0.0075,0.0,0.0,0.0075,0.0,0.0,0.0,0.0,AC-DL
Inulin,24.0,0.0,0.0,0.4227931463027825,0.0,0.0,2.160540187030551,0.0,0.0,0.0,0.0,AC-DL
Inulin,0.0,0.0,0.0075,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BV-AC
Inulin,24.0,0.0,1.64429495418321,1.319371712483457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BV-AC
Inulin,0.0,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,PJ-BV-AC-DP-BT-DL-BH-BP-CS-EL
Inulin,24.0,0.0211295717036919,0.0534765964803664,0.1845029562139462,0.1013265066157812,0.1877688854742828,0.8649416501130901,0.0,0.080181304619053,0.0017433448512993,0.2637291839284888,PJ-BV-AC-DP-BT-DL-BH-BP-CS-EL
Inulin,0.0,0.0025,0.0025,0.0025,0.0,0.0025,0.0025,0.0,0.0,0.0,0.0025,PJ-BV-AC-BT-DL-EL
Inulin,24.0,0.0259185401857928,0.1569048053290326,0.096402662733053,0.0,0.1310418287217992,1.3069533948925058,0.0,0.0,0.0,0.0928787681378161,PJ-BV-AC-BT-DL-EL
Inulin,0.0,0.001875,0.0,0.001875,0.001875,0.0,0.001875,0.001875,0.001875,0.001875,0.001875,PJ-AC-DP-DL-BH-BP-CS-EL
Inulin,24.0,0.4608246746045621,0.0,0.6900783615913298,0.0602548685819469,0.0,0.1041035844448967,0.0,0.4948046921210469,0.0020155495580098,0.0919849357648743,PJ-AC-DP-DL-BH-BP-CS-EL
Inulin,0.0,0.0025,0.0025,0.0025,0.0,0.0025,0.0025,0.0025,0.0,0.0,0.0,PJ-BV-AC-BT-DL-BH
Inulin,24.0,0.0174353858030502,0.2365512042929767,0.4380844405949915,0.0,0.14784891696479,0.6073800523441913,0.0,0.0,0.0,0.0,PJ-BV-AC-BT-DL-BH
Inulin,0.0,0.0025,0.0025,0.0025,0.0,0.0025,0.0025,0.0,0.0,0.0025,0.0,PJ-BV-AC-BT-DL-CS
