Param name,Param value_Nocarb,Param value_Inulin,Param value_Laminarin,Param value_Xylan,Median,Std_dev
CS*AC,0.37772490687675586,-0.060449222340421556,0.1917395085271,0.4691444816102388,0.2847322077019279,0.23380312959321328
CS*DP,-0.26268255290887793,-0.1796219366622241,-0.20249857705083685,-0.22393254516560473,-0.2132155611082208,0.03531869867366478
CS*BT,-0.24527919063289078,-0.1647929485028917,-0.0702676478426982,-0.06759507269271246,-0.11753029817279495,0.08518035925563805
CS*DL,-0.32345459137179944,-0.09328884492845152,-0.14014239108023338,-0.14925606365161898,-0.14469922736592616,0.10096839606933931
CS*BH,0.7826353911076763,0.25582768961346386,0.493400220346005,0.2736177541146322,0.38350898723031857,0.24585629599176684
CS*BP,0.6166105452971533,0.10585708565450648,0.19242308859216978,0.439928260870179,0.31617567473117436,0.23316245371558372
CS*CS,-0.7872007157103527,-0.9280870607101809,-0.9730199331202863,-1.038263380995987,-0.9505534969152336,0.10638949577379568
CS*EL,0.4014972527704987,0.17003940794709066,0.25629831077852244,0.12441717782508044,0.21316885936280655,0.12190961612526588
EL*PJ,0.31054665006062165,0.034486013454750476,0.18217386743488503,-0.0928811455923676,0.10832994044481775,0.1753882332417992
EL*BV,0.19722168628017223,0.6634537703571817,-0.144334147287132,0.04794058049001134,0.12258113338509179,0.3445607070298536
EL*AC,0.04774587486956568,-0.29178363325140994,-0.36449464866888365,0.04647415042835685,-0.12265474141152655,0.2186749351643509
EL*DP,0.13446356296218556,-0.15105048181695924,-0.06649827759711378,0.026775492362217105,-0.01986139261744834,0.12280465523556312
EL*BT,0.08965372666174871,-0.09619522339089696,-0.12024931896624527,-0.1650648304123019,-0.10822227117857111,0.112105127919016
EL*DL,0.024057281834175697,-0.06783522758278263,-0.011486190248534854,0.11746378974685341,0.006285545792820421,0.07776641551665987
EL*BH,0.3584486280786794,0.09117769080813866,-0.0720551108604686,0.3331957061885696,0.21218669849835411,0.20551780645526918
EL*BP,0.11363314521373268,0.008761854778531395,-0.23544657868797314,-0.1792701087395168,-0.0852541269804927,0.1624798786080202
EL*CS,0.07991200540646297,0.06283122505708044,-0.0669168912337589,-0.1123328429815667,-0.0020428330883392257,0.09503867316505665
EL*EL,-1.6379769184074853,-1.352494904755971,-1.4022009880779633,-1.1216997677325202,-1.3773479464169671,0.21174874859104925
